#  Time     Vel  VelUpp  VelLow
 375.00   28.00   33.50   22.50
 376.00   24.50   30.00   19.00
 377.00   21.00   26.50   15.50
 378.00   17.50   23.00   12.00
 379.00   14.00   19.50    8.50
 380.00   10.50   16.00    5.00
 381.00    7.00   12.50    1.50
 382.00    3.50    9.00   -2.00
 383.00    0.00    5.50   -2.00
 384.00    0.00    2.00   -2.00
 385.00    0.00    2.00   -2.00
 386.00    0.00    2.00   -2.00
 387.00    0.00    2.00   -2.00
 388.00    0.00    2.00   -2.00
 389.00    0.00    2.00   -2.00
 390.00    0.00    2.00   -2.00
 391.00    0.00    2.00   -2.00
 392.00    0.00    2.00   -2.00
 393.00    0.00    2.00   -2.00
 394.00    0.00    2.00   -2.00
 395.00    0.00    2.00   -2.00
 396.00    0.00    2.00   -2.00
 397.00    0.00    2.00   -2.00
 398.00    0.00    2.00   -2.00
 399.00    0.00    2.00   -2.00
 400.00    0.00    2.00   -2.00
 401.00    0.00    5.75   -2.00
 402.00    3.75    9.50   -2.00
 403.00    7.50   13.25    1.75
 404.00   11.25   17.00    5.50
 405.00   15.00   17.00    9.25
 406.00   15.00   17.00   13.00
 407.00   15.00   17.00   13.00
 408.00   15.00   17.00   13.00
 409.00   15.00   17.00   13.00
 410.00   15.00   17.00   13.00
 411.00   15.00   17.00   13.00
 412.00   15.00   17.00   13.00
 413.00   15.00   17.00   10.00
 414.00   12.00   17.00    7.00
 415.00    9.00   14.00    4.00
 416.00    6.00   11.00    1.00
 417.00    3.00    8.00   -2.00
 418.00    0.00    5.00   -2.00
 419.00    0.00    2.00   -2.00
 420.00    0.00    2.00   -2.00
 421.00    0.00    2.00   -2.00
 422.00    0.00    2.00   -2.00
 423.00    0.00    2.00   -2.00
 424.00    0.00    2.00   -2.00
 425.00    0.00    2.00   -2.00
 426.00    0.00    2.00   -2.00
 427.00    0.00    2.00   -2.00
 428.00    0.00    2.00   -2.00
 429.00    0.00    2.00   -2.00
 430.00    0.00    2.00   -2.00
 431.00    0.00    2.00   -2.00
 432.00    0.00    2.00   -2.00
 433.00    0.00    2.00   -2.00
 434.00    0.00    2.00   -2.00
 435.00    0.00    2.00   -2.00
 436.00    0.00    2.00   -2.00
 437.00    0.00    2.00   -2.00
 438.00    0.00    2.00   -2.00
 439.00    0.00    4.50   -2.00
